habilidad_general,url
Marketing Digital,https://www.coursera.org/learn/nurture-market-strategies
Estadística y Probabilidad,https://www.coursera.org/learn/business-statistics-analysis-capstone
Machine Learning / IA,https://www.coursera.org/learn/ai-and-climate-change
Machine Learning / IA,https://www.coursera.org/learn/generative-ai-ethical-considerations-and-implications
Física,https://www.coursera.org/learn/healthy-practices-nutrition-physical-activity-community-family-participation
Filosofía,https://www.coursera.org/learn/ethics-of-artificial-intelligence
Machine Learning / IA,https://www.coursera.org/learn/introduction-to-generative-ai-studio
Física,https://www.coursera.org/learn/physics-101-forces-kinematics
"Programación General, Sistemas Operativos",https://www.coursera.org/learn/linux-system-programming-introduction-to-buildroot
Machine Learning / IA,https://www.coursera.org/learn/gpt-vision
Machine Learning / IA,https://www.coursera.org/learn/ai-powered-software-and-system-design
Machine Learning / IA,https://www.coursera.org/learn/ai-and-disaster-management
Python,https://www.coursera.org/learn/introduction-python-fundamentals
Machine Learning / IA,https://www.coursera.org/learn/fundamentals-of-ai-agents-using-rag-and-langchain
Cloud Computing,https://www.coursera.org/learn/microsoft-azure-machine-learning
Marketing Digital,https://www.coursera.org/learn/marketing-digital-ecommerce
"Kotlin / Android, Programación General",https://www.coursera.org/learn/meta-programming-fundamentals-kotlin
Machine Learning / IA,https://www.coursera.org/learn/generative-ai-elevate-software-development-career
Machine Learning / IA,https://www.coursera.org/learn/gen-ai-foundational-models-for-nlp-and-language-understanding
Python,https://www.coursera.org/learn/python-visualization
Marketing Digital,https://www.coursera.org/learn/seo-project
Finanzas y Contabilidad,https://www.coursera.org/learn/blockchain-crypto-decentralized-finance
Bases de Datos,https://www.coursera.org/learn/intermediate-postgresql
Machine Learning / IA,https://www.coursera.org/learn/navigating-generative-ai-ceo-playbook-v2
Machine Learning / IA,https://www.coursera.org/learn/human-factors-in-artificial-intelligence
Diseño UX/UI,https://www.coursera.org/learn/designing-user-interfaces-and-experiences-uiux
Python,https://www.coursera.org/learn/advanced-portfolio-construction-python
Programación General,https://www.coursera.org/learn/ai-algorithm-limitations
Sistemas Operativos,https://www.coursera.org/learn/linux-tools-for-developers
Marketing Digital,https://www.coursera.org/learn/data-analytics-methods-for-marketing
Cloud Computing,https://www.coursera.org/learn/microsoft-azure-machine-learning-for-data-scientist
Física,https://www.coursera.org/learn/modernrobotics-course2
Ciencia de Datos,https://www.coursera.org/learn/data-analysis-with-tableau-public
Machine Learning / IA,https://www.coursera.org/learn/generative-ai-language-modeling-with-transformers
Machine Learning / IA,https://www.coursera.org/learn/project-generative-ai-applications-with-rag-and-langchain
"Ciberseguridad, DevOps y Contenedores",https://www.coursera.org/learn/application-security-for-developers-devops
Machine Learning / IA,https://www.coursera.org/learn/data-pipelines-tensorflow
Ciencia de Datos,https://www.coursera.org/learn/advanced-data-visualization-with-tableau-public
Programación General,https://www.coursera.org/learn/system-programming
Python,https://www.coursera.org/learn/python-para-ciencia-de-datos
Estrategia y Operaciones,https://www.coursera.org/learn/uva-darden-bcg-pricing-strategy-customer-value
Marketing Digital,https://www.coursera.org/learn/leadership-marketing
Bases de Datos,https://www.coursera.org/learn/data-wrangling-analysis-abtesting
Machine Learning / IA,https://www.coursera.org/learn/ibm-ai-ladder-framework
Kotlin / Android,https://www.coursera.org/learn/androidapps-2
Finanzas y Contabilidad,https://www.coursera.org/learn/intro-to-data-analytics
JavaScript,https://www.coursera.org/learn/back-end-developer-capstone
Ciberseguridad,https://www.coursera.org/learn/principios-y-regulaciones-de-seguridad-de-la-informacion
Machine Learning / IA,https://www.coursera.org/learn/device-based-models-tensorflow
Programación General,https://www.coursera.org/learn/advanced-trading-algorithms
"Programación General, Python",https://www.coursera.org/learn/introduccion-python
Ciberseguridad,https://www.coursera.org/learn/data-privacy-security-governance-risk-and-compliance
Bases de Datos,https://www.coursera.org/learn/oracle-sql-basics
Machine Learning / IA,https://www.coursera.org/learn/generative-ai-advanced-fine-tuning-for-llms
Marketing Digital,https://www.coursera.org/learn/international-entertainment-sports-marketing
"Bases de Datos, Cloud Computing",https://www.coursera.org/learn/microsoft-azure-sql
Bases de Datos,https://www.coursera.org/learn/advanced-mysql-topics
Marketing Digital,https://www.coursera.org/learn/10k-women-6
Machine Learning / IA,https://www.coursera.org/learn/generative-ai-engineering-and-fine-tuning-transformers
"Java, JavaScript",https://www.coursera.org/learn/data-structures--backend-with-java
Machine Learning / IA,https://www.coursera.org/learn/intro-gen-ai
Programación General,https://www.coursera.org/learn/julia-programming
Marketing Digital,https://www.coursera.org/learn/international-marketing-entry-execution
Biología,https://www.coursera.org/learn/biology-everywhere-foundations
Física,https://www.coursera.org/learn/understanding-modern-physics-2-quantum-mechanics-and-atoms
Ciberseguridad,https://www.coursera.org/learn/essential-aspects-of-software-hardware-and-data-backup
Matemáticas,https://www.coursera.org/learn/algebra-ii
Machine Learning / IA,https://www.coursera.org/learn/generative-ai-business-and-career-growth
Diseño UX/UI,https://www.coursera.org/learn/user-experience-interaction-design-augmented-virtual-mixed-extended-reality
Marketing Digital,https://www.coursera.org/learn/introduction-digital-marketing
Cloud Computing,https://www.coursera.org/learn/cybersecurity-identity-and-access-solutions-with-azure-ad
Java,https://www.coursera.org/learn/java-inheritance-data-structures
Machine Learning / IA,https://www.coursera.org/learn/generative-ai-for-kids
Machine Learning / IA,https://www.coursera.org/learn/introduction-generative-ai
Finanzas y Contabilidad,https://www.coursera.org/learn/finanzas-no-expertos
Finanzas y Contabilidad,https://www.coursera.org/learn/finanzas-operativas
Python,https://www.coursera.org/learn/python-representation
Ciberseguridad,https://www.coursera.org/learn/enterprise-infrastructure-security
Biología,https://www.coursera.org/learn/genetics-society
Machine Learning / IA,https://www.coursera.org/learn/ai-for-business-generation-and-prediction
Marketing Digital,https://www.coursera.org/learn/marketing-digital-en-accion
Programación General,https://www.coursera.org/learn/cplusplus-crypto-i
Estadística y Probabilidad,https://www.coursera.org/learn/statistics-international-business
"Cloud Computing, Machine Learning / IA",https://www.coursera.org/learn/microsoft-ai-900-exam-prep
"Bases de Datos, Python",https://www.coursera.org/learn/scripting-with-python-sql-for-data-engineering-duke
Machine Learning / IA,https://www.coursera.org/learn/ai-for-knowledge-workers
Historia,https://www.coursera.org/learn/history-medical-cannabis-cbd-thc
Biología,https://www.coursera.org/learn/contemporary-biology
Ciencia de Datos,https://www.coursera.org/learn/communicating-data-insights-with-tableau
Machine Learning / IA,https://www.coursera.org/learn/generative-ai-supercharge-your-product-management-career
DevOps y Contenedores,https://www.coursera.org/learn/devops-culture-and-mindset
"Estrategia y Operaciones, Marketing Digital",https://www.coursera.org/learn/10kw-digital-marketing
Machine Learning / IA,https://www.coursera.org/learn/gen-ai-for-university-leaders
Cloud Computing,https://www.coursera.org/learn/data-warehouse-analytics-microsoft-azure
"Java, Programación General",https://www.coursera.org/learn/programming-with-java
Física,https://www.coursera.org/learn/materials-structures
Machine Learning / IA,https://www.coursera.org/learn/solve-problems-ai-machine-learning
Estrategia y Operaciones,https://www.coursera.org/learn/social-media-social-content-strategy
"Kotlin / Android, Programación General",https://www.coursera.org/learn/advanced-programming-in-kotlin
Java,https://www.coursera.org/learn/cloud-services-java-spring-framework
Física,https://www.coursera.org/learn/physics-102-electric-charges-fields
Bases de Datos,https://www.coursera.org/learn/oracle-database-platform
Machine Learning / IA,https://www.coursera.org/learn/generative-ai-fundamentals-applications-and-challenges
Marketing Digital,https://www.coursera.org/learn/applying-data-analytics-business-in-marketing
Java,https://www.coursera.org/learn/spring-mvc-rest-controller
Programación General,https://www.coursera.org/learn/practicing-sas-programming-certification
Química,https://www.coursera.org/learn/quimica-alimentos
"Gestión de Proyectos, Machine Learning / IA",https://www.coursera.org/learn/generative-ai-unleash-your-project-management-potential
Gestión de Proyectos,https://www.coursera.org/learn/team-building-and-leadership-in-project-management
Bases de Datos,https://www.coursera.org/learn/oracle-sql-proficiency
Programación General,https://www.coursera.org/learn/machine-learning-classification-algorithms
Cloud Computing,https://www.coursera.org/learn/microsoft-dp-900-exam-prep
Marketing Digital,https://www.coursera.org/learn/analticas-y-mtricas-de-marketing
"Machine Learning / IA, Programación General",https://www.coursera.org/learn/programming-with-generative-ai
Finanzas y Contabilidad,https://www.coursera.org/learn/finance-value
Machine Learning / IA,https://www.coursera.org/learn/advanced-deployment-scenarios-tensorflow
Machine Learning / IA,https://www.coursera.org/learn/generative-ai-in-education
Machine Learning / IA,https://www.coursera.org/learn/generative-ai-advance-your-human-resources
Diseño UX/UI,https://www.coursera.org/learn/3d-interaction-design-virtual-reality
Física,https://www.coursera.org/learn/quantum-mechanics
JavaScript,https://www.coursera.org/learn/animation-javascript-jquery
"Programación General, Swift / iOS",https://www.coursera.org/learn/advanced-programming-in-swift
Ciberseguridad,https://www.coursera.org/learn/advanced-cybersecurity-concepts-and-capstone-project
"Programación General, Python",https://www.coursera.org/learn/python-programming-fundamentals
Programación General,https://www.coursera.org/learn/algorithms-data-collection-code
Sistemas Operativos,https://www.coursera.org/learn/managing-linux-systems
Marketing Digital,https://www.coursera.org/learn/comunicaciones-integradas-marketing
Programación General,https://www.coursera.org/learn/r-programming-tidyverse
Ciberseguridad,https://www.coursera.org/learn/security-privacy-big-data
Python,https://www.coursera.org/learn/machine-learning-asset-management-alternative-data
Ciberseguridad,https://www.coursera.org/learn/cloud-security-basics
Machine Learning / IA,https://www.coursera.org/learn/generative-ai-governance-policy-and-emerging-regulation
Machine Learning / IA,https://www.coursera.org/learn/machine-teaching-ai
"Cloud Computing, Python",https://www.coursera.org/learn/developing-applications-in-python-on-aws
Filosofía,https://www.coursera.org/learn/ai-ethics-analysis
Marketing Digital,https://www.coursera.org/learn/meta-marketing-science-certification
Python,https://www.coursera.org/learn/estructura-de-datos-python
Kotlin / Android,https://www.coursera.org/learn/intro-android-graphics
"Estrategia y Operaciones, Machine Learning / IA",https://www.coursera.org/learn/setting-a-generative-ai-strategy
Cloud Computing,https://www.coursera.org/learn/microsoft-azure-cosmos-db
"Machine Learning / IA, Marketing Digital",https://www.coursera.org/learn/generative-ai-in-marketing
Ciberseguridad,https://www.coursera.org/learn/patient-safety-measurement
Programación General,https://www.coursera.org/learn/linear-programming-and-approximation-algorithms
Bases de Datos,https://www.coursera.org/learn/mongodb-aggregation-framework
Ciberseguridad,https://www.coursera.org/learn/advanced-system-security-topics
Física,https://www.coursera.org/learn/physics-101-energy-momentum
Bases de Datos,https://www.coursera.org/learn/json-natural-language-processing-postgresql
"Marketing Digital, Redes",https://www.coursera.org/learn/medir-y-optimizar-campanas-de-marketing-en-redes-sociales
Bases de Datos,https://www.coursera.org/learn/database-architecture-scale-nosql-elasticsearch-postgresql
Finanzas y Contabilidad,https://www.coursera.org/learn/applying-data-analytics-accounting
Finanzas y Contabilidad,https://www.coursera.org/learn/reinforcement-learning-in-finance
Desarrollo de Videojuegos,https://www.coursera.org/learn/videojuegos-diseno
Desarrollo de Videojuegos,https://www.coursera.org/learn/level-design
"Ciberseguridad, Redes, Swift / iOS",https://www.coursera.org/learn/security
Cloud Computing,https://www.coursera.org/learn/computer-vision-microsoft-azure
JavaScript,https://www.coursera.org/learn/interactivity-javascript-jquery
Ciberseguridad,https://www.coursera.org/learn/security-governance-compliance
Rust,https://www.coursera.org/learn/data-engineering-rust
Física,https://www.coursera.org/learn/physics-101-rotational-motion-gravitation
Programación General,https://www.coursera.org/learn/cplusplus-crypto-ii
Cloud Computing,https://www.coursera.org/learn/data-analytics-and-databases-aws
"Programación General, Python",https://www.coursera.org/learn/programacion-python-objetos
Desarrollo de Videojuegos,https://www.coursera.org/learn/videojuegos-animation
Estrategia y Operaciones,https://www.coursera.org/learn/estrategia-precios
Física,https://www.coursera.org/learn/anemobarometry-flight-mechanics
Psicología,https://www.coursera.org/learn/psicologia-principios
Machine Learning / IA,https://www.coursera.org/learn/generative-ai-elevate-your-data-engineering-career
Programación General,https://www.coursera.org/learn/unsupervised-algorithms-in-machine-learning
Redes,https://www.coursera.org/learn/introduction-to-network-automation
Swift / iOS,https://www.coursera.org/learn/working-with-data-in-ios
Ciencia de Datos,https://www.coursera.org/learn/getting-started-with-tableau
Marketing Digital,https://www.coursera.org/learn/genai-for-digital-marketing-specialists
Machine Learning / IA,https://www.coursera.org/learn/ai-for-design-and-optimization
Machine Learning / IA,https://www.coursera.org/learn/responsible-ai-in-generative-ai
Swift / iOS,https://www.coursera.org/learn/ui
Kotlin / Android,https://www.coursera.org/learn/android-graphics-opengl-es
