puesto_trabajo,nombre_empresa,pais,region_estado,categoria_busqueda,tipo_contrato,salario,moneda_salario,periodo_salario,plataforma_origen,tipo_fuente_datos,enlace_oferta
Analista SR de Inteligencia Comercial//Camacho,Adecco Perú S.A.,pe,"Lima, Lima",sql,Presencial y remoto,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-sr-de-inteligencia-comercialcamacho-en-lima-77D07697A2CEF0B561373E686DCF3405#lc=ListOffers-Score3-6
Practicante de Software / Sede Ate,Corporación de Industrias Plásticas S. A.,pe,"Ate, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-de-software-sede-ate-en-ate-736794132DA4D31961373E686DCF3405#lc=ListOffers-Score3-7
"Desarrollador web  PhP, Python, Java // Cercado de Lima",Urbano,pe,"Lima, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-web-php-python-java-cercado-de-lima-disponibilidad-inmediata-en-lima-8AE6526AC376C06461373E686DCF3405#lc=ListOffers-Score3-8
Jefe de BI / Analytics / Transformación Digital,TRUST CONSULTING,pe,"Barranco, Lima",sql,NA,"S/. 10.000,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-jefe-de-bi-analytics-transformacion-digital-en-barranco-DF1687CCC7B2043D61373E686DCF3405#lc=ListOffers-Score3-9
Practicante de Inteligencia de Negocios (Recién Egresados),Manpower,pe,"Lima, Lima",sql,Presencial y remoto,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-de-inteligencia-de-negocios-recien-egresados-en-lima-F819A118FD2C023761373E686DCF3405#lc=ListOffers-Score3-10
Ingeniero Cloud,Apuesta Total,pe,"Lima, Lima",sql,Presencial y remoto,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-cloud-en-lima-C3C69B9750D8060161373E686DCF3405#lc=ListOffers-Score3-11
Analista de creditos y cobranzas/Puente Piedra/Disp. Inmediata,GRUPO VALLENORTE,pe,"Puente Piedra, Lima",sql,NA,"S/. 2.000,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-creditos-y-cobranzaspuente-piedradisp-inmediata-en-puente-piedra-6F247E19707AA7EE61373E686DCF3405#lc=ListOffers-Score3-12
Coordinador de TI,Grupo Huamani S.A.C,pe,"Pisco, Ica",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-coordinador-de-ti-en-pisco-39A9C7003CC8E82461373E686DCF3405#lc=ListOffers-Score3-13
Analista de gobierno de datos,Grupo Educa_d,pe,"Santiago De Surco, Lima",sql,Presencial y remoto,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-gobierno-de-datos-en-santiago-de-surco-D8365B5B2EA7D33A61373E686DCF3405#lc=ListOffers-Score3-14
Analista de datos,Yarnold Consultores Legales,pe,"Lima, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-datos-pagos-puntuales-y-beneficios-de-ley-en-lima-7C1797A532D52A3761373E686DCF3405#lc=ListOffers-Score3-15
Programador Odoo  V17,LÓGICA CONSULTORÍA E.I.R.L.,pe,"La Victoria, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-programador-odoo-v17-juniorsenior-en-la-victoria-B62B538F0A50C73B61373E686DCF3405#lc=ListOffers-Score3-16
Analista de Sistemas (Bachiller en Ingeniería de Sistemas o afines),NA,pe,"Trujillo, La Libertad",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-sistemas-bachiller-en-ingenieria-de-sistemas-o-afines-en-trujillo-E049FC268008C96961373E686DCF3405#lc=ListOffers-Score3-17
Operador de Monitoreo y Soporte TI,Apuesta Total,pe,"Lima, Lima",sql,Presencial y remoto,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operador-de-monitoreo-y-soporte-ti-en-lima-E71FD5F7AC78FD8D61373E686DCF3405#lc=ListOffers-Score3-18
Analista BI/ ing sistemas/ telecomunicaciones / electrónica / informática o afines,MARBATT BPO,pe,"Paucarpata, Arequipa",sql,NA,"S/. 2.000,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-bi-ing-sistemas-telecomunicaciones-electronica-informatica-o-afines-en-paucarpata-04184A745FBD9AD261373E686DCF3405#lc=ListOffers-Score3-19
Cibertec: Docente Tiempo Completo (24hrs) Carrera Administración de Datos,Laureate,pe,"Santiago De Surco, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cibertec-docente-tiempo-completo-24hrs-carrera-administracion-de-datos-big-data-developer-en-santiago-de-surco-B8E4E960664AB21261373E686DCF3405#lc=ListOffers-Score3-0
Líder Técnico / Tacna,NA,pe,"Lima, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-lider-tecnico-tacna-en-lima-52072A850B6009C861373E686DCF3405#lc=ListOffers-Score3-1
Cibertec: Docente Tiempo Completo (24hrs) Carrera Computación e Informática,Laureate,pe,"Santiago De Surco, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cibertec-docente-tiempo-completo-24hrs-carrera-computacion-e-informatica-en-santiago-de-surco-C1455F5C8B7190BA61373E686DCF3405#lc=ListOffers-Score3-2
Analista Semi Senior de Data Science,Well HR,pe,"Lima, Lima",sql,Presencial y remoto,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-semi-senior-de-data-science-en-lima-E148C1FC6F17871561373E686DCF3405#lc=ListOffers-Score3-3
Analista programador .Net Core,Valtx,pe,"San Borja, Lima",sql,Presencial y remoto,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-programador-net-core-en-san-borja-6632D10C70D7009261373E686DCF3405#lc=ListOffers-Score3-4
Analista de Sistemas Full Stack,ICPNA,pe,"Miraflores, Lima",sql,Presencial y remoto,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-sistemas-full-stack-en-miraflores-8A9CAD20899FF3DF61373E686DCF3405#lc=ListOffers-Score3-5
Programador de Sistemas,NA,pe,"La Victoria, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-programador-de-sistemas-lima-en-la-victoria-1B78D56A7F13947661373E686DCF3405#lc=ListOffers-Score3-6
Analista qa,Atlantic City,pe,"Miraflores, Lima",sql,Presencial y remoto,"S/. 5.000,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-qa-en-miraflores-AC65D05F7565721661373E686DCF3405#lc=ListOffers-Score3-7
Arquitecto de Software Senior,Valtx,pe,"San Borja, Lima",sql,Presencial y remoto,"S/. 5.000,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-arquitecto-de-software-senior-en-san-borja-2C534A9BEB34A54261373E686DCF3405#lc=ListOffers-Score3-8
Analista CRM,Grupo Educa_d,pe,"Surco, Lima",sql,Presencial y remoto,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-crm-surco-en-surco-9C364D8C95F94AF761373E686DCF3405#lc=ListOffers-Score3-9
Analista de Inteligencia de Datos,RECSA PERÚ,pe,"Lima, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-inteligencia-de-datos-en-lima-AF03BBCF47BE4AEB61373E686DCF3405#lc=ListOffers-Score3-10
Analista de Datos SAP Business One,Llamagas,pe,"Calleria, Ucayali",sql,NA,"S/. 3.500,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-datos-sap-business-one-en-calleria-63AB890181AAB9A761373E686DCF3405#lc=ListOffers-Score3-11
Analista junior de inteligencia comercial /consumo masivo/Comas,Grupo Vega,pe,"Comas, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-junior-de-inteligencia-comercial-consumo-masivocomas-en-comas-020E64EFDD76570261373E686DCF3405#lc=ListOffers-Score3-12
"Analista Junior de Infraestructura TI, (Linux)",NA,pe,"San Isidro, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-junior-de-infraestructura-ti-linux-san-isidro-en-san-isidro-90522B798AE3509061373E686DCF3405#lc=ListOffers-Score3-13
