puesto_estandarizado,nombre_empresa,ubicacion,modalidad,salario
Ejecutivo Ventas Software,MENA PEZO MARIAN JHOANY,,,
Ejecutivo Ventas Software,ICPNA,,,
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Total Talent Human Resources,,,"S/. 2.000,00 (Mensual)"
Ejecutivo Ventas Software,APRENDELO PE AGENCIA & CURSOS,,Presencial y remoto,
Ejecutivo Ventas Software,Manpower,,,
Ejecutivo Ventas Software,Financiera QAPAQ,,,
Ejecutivo Ventas Software,Financiera QAPAQ,,,
Ejecutivo Ventas Software,Automatizate Negocios,,,
Ejecutivo Ventas Software,PERUVIAN SUNRISE,,,
Ejecutivo Ventas Software,Manpower,,,"S/. 2.100,00 (Mensual)"
Ejecutivo Ventas Software,LULLI & ASOCIADOS S.A.C. - ENLACE Talento - Trabajo - Desarrollo,,,
Ejecutivo Ventas Software,TRANSARCALI,,,
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,MOTORLINK S.A.C.,,,"S/. 1.500,00 (Mensual)"
Ejecutivo Ventas Software,Sef Peru Holding SAC,,,
Ejecutivo Ventas Software,CLÍNICA MONTELUZ,,,
Ejecutivo Ventas Software,IMPORT EXPORT TOOLS SAC,,,"S/. 1.400,00 (Mensual)"
Ejecutivo Ventas Software,CORPORACION JRC PERU S.A.C.,,,"S/. 1.130,00 (Mensual) + Comisiones"
Ejecutivo Ventas Software,Nicoll Perú S.A,,,
Ejecutivo Ventas Software,ARGACORP S.A.C.,,,
Ejecutivo Ventas Software,,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Optictimes,,,
Ejecutivo Ventas Software,LASER PRODUCTS EIRL,,,
Ejecutivo Ventas Software,Huemura SAC,,,
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Grupo AUNA,,,"S/. 1.500,00 (Mensual)"
Ejecutivo Ventas Software,Los Portales,,,
Ejecutivo Ventas Software,Digital Max,,,"S/. 1.430,00 (Mensual)"
Ejecutivo Ventas Software,Salesland Pacífico,,,
Ejecutivo Ventas Software,ICPNA,,,
Ejecutivo Ventas Software,ICPNA,,,
Ejecutivo Ventas Software,Corporacion New Age,,,
Ejecutivo Ventas Software,Sef Peru Holding SAC,,,
Ejecutivo Ventas Software,ADN BRANDS,,,
Ejecutivo Ventas Software,ICPNA,,,
Ejecutivo Ventas Software,Bitel,,,"S/. 1.800,00 (Mensual)"
Ejecutivo Ventas Software,CORPORACION MACROCHIPS SAC,,,
Ejecutivo Ventas Software,ILAE,,,
Ejecutivo Ventas Software,Financiera QAPAQ,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,,,,"S/. 2.000,00 (Mensual) + Comisiones"
Ejecutivo Ventas Software,Support Brigades Fire & Safety S.A.C.,,Presencial y remoto,"S/. 1.700,00 (Mensual)"
Ejecutivo Ventas Software,Grupo San Pablo,,,
Ejecutivo Ventas Software,Grupo San Pablo,,,
Ejecutivo Ventas Software,N&S Distribuciones,,,
Ejecutivo Ventas Software,,,,
