puesto_estandarizado,nombre_empresa,ubicacion,modalidad,salario
Atencion Cliente 1400,Apuesta Total,,,1130.0
Atencion Cliente 1400,Adecco Perú S.A.,,,
Ingeniero Mecánico Eléctrico,leite,,,1800.0
Ingeniero Mecánico Eléctrico,leite,,,1800.0
Ingeniero Mecánico Eléctrico,GONORD GROUP S.A.C.,,Presencial y remoto,
Ingeniero Mecánico Eléctrico,VIRU S.A.,,,
Ingeniero Mecánico Eléctrico,GONORD GROUP S.A.C.,,Presencial y remoto,
Ingeniero Mecánico Eléctrico,INDPACK S.A.C.,,,
Ingeniero Mecánico Eléctrico,,,,
Ingeniero Mecánico Eléctrico,JB CONSULTING GROUP S.A.C,,,
Ingeniero Mecánico Eléctrico,,,,
Ingeniero Mecánico Eléctrico,JB CONSULTING GROUP S.A.C,,,
Ingeniero Mecánico Eléctrico,Minera Paraiso SAC,,,
Ingeniero Mecánico Eléctrico,fovipol,,,6000.0
Ingeniero Mecánico Eléctrico,Mega & Ozono S.A.C.,,,
Ingeniero Mecánico Eléctrico,,,,
Ingeniero Mecánico Eléctrico,Kurac,,,
Ingeniero Mecánico Eléctrico,,,,
Asistente de Mantenimiento,SMI,,,
Asistente de Mantenimiento,C&E CONTROL ELECTRIC SAC,,,
Asistente de Mantenimiento,FRUTEX PERU S.A.C,,,1400.0
Asistente de Mantenimiento,Peruvian Andean Trout S.A.C.,,,
Asistente de Mantenimiento,,,,1710.0
Asistente de Mantenimiento,Geotec S.A.,,,
Asistente de Mantenimiento,SMI,,,
Asistente de Mantenimiento,JP Logistica SAC,,,
Asistente de Mantenimiento,Embotelladora San Miguel del Sur SAC,,,
Asistente de Mantenimiento,Maxima Internacional S.A,,,
Asistente de Mantenimiento,Embotelladora San Miguel del Sur SAC,,,
Asistente de Mantenimiento,Embotelladora San Miguel del Sur SAC,,,
Asistente Seguridad Salud,Universidad de Ciencias y Humanidades,,,
Asistente Seguridad Salud,Prevecon,,,3500.0
Asistente Seguridad Salud,Grupo Forte sac,,,
Asistente Seguridad Salud,AZZORTI,,,
Asistente Seguridad Salud,,,,
Asistente Seguridad Salud,Agrovision Peru Sac,,,
Asistente Seguridad Salud,Intipa Foods SAC,,,
Asistente Seguridad Salud,,,,
Asistente Seguridad Salud,HIGH TALENT ASOCIADOS,,,2400.0
Asistente Seguridad Salud,HIGH TALENT ASOCIADOS,,,2400.0
Asistente Seguridad Salud,,,,
Asistente Seguridad Salud,ASICA FARMS SAC,,,
Asistente Seguridad Salud,,,Presencial y remoto,
Asistente Seguridad Salud,Manpower,,,
Asistente Seguridad Salud,CONSORCIO ONCH,,,
Asistente Seguridad Salud,Atento Perú,,,
Asistente Seguridad Salud,,,Presencial y remoto,
Asistente Seguridad Salud,Don Pollo Loreto,,,2500.0
Asistente Seguridad Salud,,,,
Asistente Seguridad Salud,Instituto para el Desarrollo Infantil - ARIE,,,
Asistente Seguridad Salud,Support Brigades Fire & Safety S.A.C.,,Presencial y remoto,4500.0
Asistente Seguridad Salud,,,,2000.0
Asistente Seguridad Salud,COMETAL,,,
Asistente Seguridad Salud,Universidad de Ciencias y Humanidades,,,
Asistente Seguridad Salud,Eurofirms Perú,,,
Asistente Seguridad Salud,PASTIPAN,,,1600.0
Asistente Seguridad Salud,TEXTILES OLINDA S.A.C.,,,
Asistente Seguridad Salud,GENETICA AGRICOLA S.A.C.,,,
Asistente Seguridad Salud,Umi Foods SAC,,,
Asistente Seguridad Salud,Universidad Continental,,,
Asistente Seguridad Salud,,,,2000.0
Asistente Seguridad Salud,VILLA SALUD,,,
Asistente Seguridad Salud,YOFC PERÚ S.A.C.,,,
Asistente Seguridad Salud,Manpower,,,
Asistente Seguridad Salud,,,,1500.0
Asistente Seguridad Salud,Packplast Envolturas SAC,,,
Asistente Seguridad Salud,Grupo Forte sac,,,
Asistente Seguridad Salud,Grupo San Pablo,,,
Asistente Seguridad Salud,GRUPO NORTE PERU,,,1500.0
Especialista Técnico People,ACOSAC,,,
Especialista Técnico People,PROMAX SAFETY,,,
Especialista Técnico People,,,,
Especialista Técnico People,HASHI TECNOLOGIA SAC,,,2400.0
Especialista Técnico People,HASHI TECNOLOGIA SAC,,,2400.0
Especialista Técnico People,Gambell Management,,,
Especialista Técnico People,,,,
Especialista Técnico People,Grupo Intercorp,,,
Especialista Técnico People,INERCO CONSULTORIA PERU S.A.C.,,,
