puesto_estandarizado,empresa,ubicacion,modalidad,salario_estimado
Conserje/seguridad de edificio,,,,
Cajeros(as) para atención al cliente en banco BCP / Arequipa,Adecco Perú S.A.,,,
Cajeros(as) para atención al cliente en banco BCP / Camana,Adecco Perú S.A.,,,
Cajeros(as) para atención al cliente en banco BCP / Piura,Adecco Perú S.A.,,,
Cajeros(as) para atención al cliente en banco BCP / Cusco,Adecco Perú S.A.,,,
Cajeros(as) para atención al cliente en banco BCP / Quillabamba,Adecco Perú S.A.,,,
Cajeros(as) para atención al cliente en banco BCP / Juliaca,Adecco Perú S.A.,,,
Auxiliar de Almacén   Arequipa,MODASA,,,
Asistente Comercio Exterior,,,,
Optómetra / Clínica Oftalmológica / Ingreso inmediato,Oftalmomedic,,,
Practicante Profesional de Contabilidad,EULEN del Perú,,,
Tecnico de Enfermeria / Clinica Surco 7am a 4pm,S.G NATCLAR SAC,,,
Lider de Control de Calidad,Software Enterprise Services SAC,,Presencial y remoto,
S/ 3000 Auxiliar de Almacén Chimbote/Huaura/La Libertad,,,,
Supervisor,Energia Integral Andina SA,,,
administrador ventas,SINOMIN PERU S.A.C.,,,
"Programador, especialista en Backend y Frontend",POWER HOUSE DIGITAL STUDIO,,Presencial y remoto,
Auditor Interno,ASESORIA EMPRESARIAL & CORP.,,,
Contadora,COLEGIO VILLA GRATIA DEI COLLEGE,,Presencial y remoto,
Cajeras Casino Tragamonedas,Inversiones Taurinas Nuevo Mundo S.A.C.,,,
recepcionista atención al cliente,KING TECH CORPORATION SAC,,,
Promotor/ Asesor de Ventas para Tiendas Express Entel,POWER TIMBER S.A.C.,,,
asistente contabilidad,ASESORES VEYSA S.A.C.,,,
agente de ventas,"""DOS LOMAS EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA""",,,
Vendedor,GONG LINGYAN,,,
vendedor productos electricos,ELISEO CONSTRUCCIONES Y MATERIALES ELECTRICOS E.I.R.L.,,,
Especialista en Integración de Protocolos Industriales,EVOLUCION TEKNOLOGICA Y DIGITAL S.R.L.,,,
Docente Tiempo Completo UPN / Psicología / Cajamarca / 2025 II,Universidad Privada del Norte S.A.C.,,,
Operarios limpieza para trabajar en Clinica de Miraflores,EULEN del Perú,,,
Operarios limpieza para trabajar en Clinica de Miraflores,EULEN del Perú,,,
Requerimos personal para trabajar de limpieza en Clinica de Miraflores,EULEN del Perú,,,
Practicante Profesional de Recursos Hídricos,,,,
Técnico de Salas,ARQUIMIA,,,
Coordinador(a) comercial,ARQUIMIA,,,
Gerente de tienda/KION,RETAIL SERVICES SAC,,,
Jefe de tienda/ Aeropuerto,RETAIL SERVICES SAC,,,
Buscamos Operario(a) de limpieza para trabajar en Clínica en a 5 cuadras de la Av. Brasil,EULEN del Perú,,,
Mozo / San Isidro,Señor Limon Sac,,,
Contador(a) General / Experiencia en el sector minero,Explo Drilling Peru SRL,,,
Diseñador Gráfico,CLÍNICA SANTA CRUZ,,,
Asistente de seguridad de la información y datos personales,Casa Andina,,,
Monitor de Operaciones,DP World Logistics S.R.L,,,
Atención al cliente  en banco BCP: Lima Norte,Adecco Perú S.A.,,,
Atención al cliente  en banco BCP: Lima Sur,Adecco Perú S.A.,,,
Cajeros/as para atención al cliente BCP:La Victoria/Lince/San Borja/Surquillo,Adecco Perú S.A.,,,
Ayudante de Limpieza/Ingreso Inmediato/San Isidro,Sodexo Perú S.A.C.,,,
Ayudante de Limpieza/Ingreso Inmediato + Planilla/ San Isidro,Sodexo Perú S.A.C.,,,
cajero recepcionista,Hotel Las Lomas,,,
Auxiliar de Manejo de la Información,Agrovision Peru Sac,,,
Analista de Créditos y cobranzas,Frutos y Especias SAC,,,
Cajeros/as para atención al cliente BCP:La Molina/Santiago de Surco,Adecco Perú S.A.,,,
Cajeros/as para atención al cliente BCP:Jesus Maria /Magdalena del Mar/San Isidro,Adecco Perú S.A.,,,
Cajeros/as para atención al cliente BCP: Breña/Cercado de Lima/Pueblo Libre/San Miguel,Adecco Perú S.A.,,,
Ejecutivo de Cobranza,Grupo EFE,,,
Supervisor Ssoma,,,,
Panadero Pastelero Puno / Régimen 14X7,Sodexo Perú S.A.C.,,,
Kardista o Auxiliar de Inventarios / Bonos / movilidad / tarjeta de alimentos,Yobel SCM,,,
Conductor de Patio / Sede Tomas Valle,MOVIL BUS S.A.C,,,
Analista de Ingeniería Métodos y Tiempos exp. en Costura de Prendas Exportación,Hilandería de Algodón Peruano S.A.,,,
Recepcionista / Asistente Administrativo,Corporación Estrategias & Salud EIRL,,,
Supervisor de calidad,CARNICA,,,
Técnico Mantenimiento,,,,
Maquinista de Impresión  Flexo III,Amauta,,,
Analista de Transporte / Sede Lurín,Tumi Contratistas Mineros SAC,,,
Funcionario de negocios Piura,Grupo EFE,,,
Analista de tesorería,,,,
Asistente de Almacén,Adecco Perú S.A.,,,
Gerente de Crédito Grupal Agencia Pichanaqui,Compartamos Banco,,,
Operador de Producción (Maquinista)  Santa Clara,Kimberly Clark Peru,,,
Maquinista de Acabados III,Amauta,,,
Jefe(a) de Recursos Humanos / Bienestar Social / Rubro Transporte,Manpower,,,
Practicante de bienestar social,,,,
Gestor de Cobranza (Ag. Ayaviri),CAJA AREQUIPA,,,
Técnico de Mantenimiento Predictivo,Tecnomin Data,,,
Supervisor /Jefe de Cuenta / Cobranzas  / Contac Center,Cobranzas Peru,,,
Técnico electricista de vehículos livianos y pesados / Southern Toquepala,CONFIPETROL ANDINA S.A.,,,
¡Caja y atención al cliente con/sin experiencia para Callao/ San Miguel!,Apuesta Total,,,
Técnico Mecanico de Conversiones automotriz/Ventanilla,Sum Vehiculos S.A,,,
Asistente de Seguridad y Salud en el Trabajo,,,,
Técnico de mantenimiento,MDY Contact Center,,,
Supervisor SBC,,,,
Web master,Universidad Peruana Cayetano Heredia,,,
Mecánico de Planta / Electricista de Planta / Electricista Automotriz / Frigorista,ADR s.a.c.,,,
Técnico Electricista Automotriz Trujillo,Tracto Camiones U.S.A.,,,
Ingeniero de seguridad Jr,Clinica Arequipa S.A.,,,
Recepcionista Bilingüe,BDO OUTSOURCING,,,
Analista Contable,BDO OUTSOURCING,,Presencial y remoto,
Asesor Técnico de Post Venta,M&M Repuestos y Servicios S.A.,,,
Maestro Mecanico Automotriz,,,,
Asesor de Negocios Ag. Jayanca,Empresa de Crédito Alternativa,,,
Operarios(as) de Limpieza para Club/ Turno Mañana y Tarde,EULEN del Perú,,,
Recaudador(a) de Peaje / Cajero (Lima Sur),Grupo Tawa,,,
Analista de control de calidad,Arch Latam,,,
Operador de CCTV (Cusco),Rico Pollo S.A.C.,,,
Supervisor Instrumentista experiencia en proyectos de  Construcción  sector minero,METSO,,,
Técnico Mecánico Post Venta Equipos Trackless / Inglés,RESEMIN,,,
Supervisor Mecánico Montajista experiencia en proyectos de  Construcción  sector minero,METSO,,,
Panadero Pastelero  Lima /Puno/ Régimen 14X7,Sodexo Perú S.A.C.,,,
Técnica en Enfermería / Administrativa,S.G NATCLAR SAC,,,
Practicante Profesional de Redes,Universidad Peruana Cayetano Heredia,,,
Soporte Técnico TI,,,,
Asesor de Equipos Móviles y atención al cliente Jr. / Entel / Ica,Grupo Tawa,,,
Analista de control de calidad / Rubro Farmacéutico,Arch Latam,,,
Técnico de Soport Pc y Printer,High Techno World,,,
Gerente de Credito Grupal / Agencia Pedregal,Compartamos Banco,,,
Montacarguista almacenista/Lurigancho Huarochiri,Solpack S.A.C.,,,
Analista de proyectos TI /Comas,Grupo Vega,,,
Médico Oncólogo de Detección Temprana y Prevención  Centro de Bienestar /Miraflores,Grupo AUNA,,,
Agente de Seguridad / 12 hrs Rotativo,Boxer Security S.A.,,,
Asesor de Negocios Ag Morrope / Mibanco,Manpower,,,
Asesor de Negocios Ag Aucayacu / Mibanco,Manpower,,,
Agente de Seguridad con L4 para la zona de Ancash 24x6 / Disponibilidad Inmediata,PROTECCION VIP,,,
Supervisor de Control de Calidad,SC Ingeniería y construcción,,,
Clasificado por Reglas,Valtx,,,
"Ayudante de cocina para Campamento Minero en Cusco, Regimen 14x7, Beneficios de ley",Sodexo Perú S.A.C.,,,
Anfitriona de Buena Presencia,,,,
¡Químico Farmacéutico! Buscamos Analista de Control de Calidad Exp Materia Prima,Arch Latam,,,
Reponedor/a de Almacén Full Time,Pedidos Ya Perú,,,
Sub Administrador  de Tienda Huánuco,NEW ATHLETIC,,,
Almacenero de Tienda / Tienda de Calzado/ Disponibilidad Completa,Viale Calzados y Accesorios,,,
Asesor de negocios (Oficial de Negocios Nuevos Mercados II): Tarma,Agrobanco,,,
Supervisor de operaciones,GM SERLAB EIRL,,,
Personal de  limpieza para residir en campamento,Agrovision Peru Sac,,,
Teleoperador/a para campamento,Agrovision Peru Sac,,,
Evaluador de Fitosanidad con experiencia en control de plagas,Agrovision Peru Sac,,,
Evaluador de maduración de fruta para campamento,Agrovision Peru Sac,,,
Vendedora con Experiencia,TRIMAFOR S.A.C.,,,
Cajera,TRIMAFOR S.A.C.,,,
Analista de Nóminas,Adecco Perú S.A.,,,
Asistente dental,Grupo Educa_d,,,
Jefe de Honorarios médicos,Grupo San Pablo,,,
Jefe Calidad,GM SERLAB EIRL,,,
¡Únete al equipo! Buscamos Analista de Control de Calidad / Materia Prima,Arch Latam,,,
Urgente!Promotor de Ventas de Licores/ Wong de Ovalo Gutiérrez/ Sueldo Competitivo/ Horario Rotativo,,,,
Operarios de Planta/ Lun a vie/ Temporal para Callao,Grupo Tawa,,,
Técnico de Soporte en Seguridad Electrónica,Overall Strategy,,,
Vendedor,DISTRIBUCIONES Y SERVICIOS ROMA S.A.C.,,,
Asistente de RRHH y contable,INVERSIONES ANTARKI SOCIEDAD ANONIMA CERRADA - INVERSIONES ANTARKI S.A.C.,,,
Asistente de Costos / Sector Alimentos y Bebidas / Callao,Manpower,,,
Promotor de ventas BBVA,PROAPP TECH S.R.L,,,
Promotor de ventas BBVA,PROAPP TECH S.R.L,,,
"Supervisor de seguridad, salud en el trabajo y medio ambiente",KLUANE PERU S.A.C.,,,
Jefa de Administración,Azzurra Constructores,,,
Ejecutivo de defensoria del usuario,SANITAS PERU,,,
Analista de facturación,Test & Control SAC,,,
Tecnico de HAVC,JMA COMPANY SAC,,,
Supervisor de operaciones,Formavena,,,
Asesor comercial,BAKELS PERU SAC,,,
Asesor comercial,BAKELS PERU SAC,,,
Tomador de muestras,Unilabs,,,
Ejecutivo(a) de Ventas Corporativas Country Club Lima Hotel,Los Portales,,,
Tec. Mecánico de Mantenimiento  Cercado de Lima,Fluidtek S.R.L.,,,
Técnico Operador PTAR Carabayllo,FLOWEN SAC,,,
Ponente de Especialidad,GRUPO DOCENTE,,,
Auxiliar Operativo,,,,
Asesor Inmobiliario / Lima Sur,Los Portales,,,
"Docente Tiempo Completo /Taller y dirección , Taller Transmedial/ Chorrillos",Universidad Privada del Norte S.A.C.,,,
Coordinador a Nivel Secundaria / Área Matemática,NUESTRA SEÑORA DE LA MERCED,,,
UPN: Asesor de Ventas Temporal  / Campus Trujillo,Laureate,,,
Asesor de Ventas / Lima Sur,Los Portales,,,
Auxiliar contable,FLAMINGO GAMES S.A.C.,,,
Líder de Tienda / Avinka Miraflores,Grupo Santa Elena,,,
Ingeniero Devops,Apuesta Total,,Presencial y remoto,
Auxiliar de  Infraestructura de TI,Lavoro Perú,,,
¡Únete al equipo! Buscamos Analista de Control de Calidad / Producto Terminado,Arch Latam,,,
¡Caja y atención al cliente con/sin experiencia para Chaupimarca!,Apuesta Total,,,
Técnico Electrotecnia  Industrial,,,,
Asistente de Tienda Full Time Sede Chaclacayo,Donde Walter,,,
Auxiliar Monitoreo y Telecobranzas,Inti Raymi S.A.,,,
Geólogo/Minería/Apurímac,Adecco Perú S.A.,,,
Geólogo/Minería/Apurímac,Adecco Perú S.A.,,,
Conductor de Minibús/Microbús/Licencia A2B,Adecco Perú S.A.,,,
Conductor de Minibús/Microbús/Licencia A2B,Adecco Perú S.A.,,,
Analista de Planificación Estratégica/Proveedores/Sector Minero,Adecco Perú S.A.,,,
Conductor de Minibús/Microbús/Licencia A2B,Adecco Perú S.A.,,,
Frigorista,BLUEBERRIES PERU S.A.C.,,,
Buscamos Asesor de Ventas Campo (Repuestos Automotrices),Arch Latam,,,
Técnico Electromecanico/ Regimen minero / Casapalca,APC Corporacion,,,
Ingeniero de Procesos,,,,
Arquitecto de Soluciones,Apuesta Total,,Presencial y remoto,
Auxiliar de Facturación y Cobranzas,METRINDUST S.A.C.,,,
Maquinista extrusion Chiclayo,Nicoll Perú S.A,,,
Técnico Mecánico (Rubro del gas natural),OCA GLOBAL PERÚ,,,
Agentes de Seguridad Bilingues / Part time / Aeropuerto Internacional Jorge Chávez,Longport Perú S.A.,,,
Gestor de Soporte Técnico y  Aplicaciones,RESEMIN,,,
Tecnico mecanico automotriz,,,,
Administrador de Negocios Internacionales,LÓGICA CONSULTORÍA E.I.R.L.,,,
Especialista de Medición (Rubro del gas natural),OCA GLOBAL PERÚ,,,
Soporte Técnico,SYSTEMBASE TELECOMUNICACIONES E.I.R.L,,,
Coordinador de Calidad Agrícola,CAMPOSOL S.A.,,,
Representante de Ventas (Afiliaciones),KasNet,,,
Programador Web,,,,
Asesor de Ventas Campo Sector Automotriz / Repuestos,Arch Latam,,,
Matizador de Pinturas / colorista rubro automotriz / concesionaria de autos,Solimano Asociados,,,
Asistente Administrativo contable de pago a proveedores,Bluefokus,,,
Técnico de Seguridad (Rubro retail),Lavoro Perú,,,
Docente de Ingeniería de Minas / Sede Trujillo,Universidad Privada del Norte S.A.C.,,,
Tecnólogo de Resonancia Los Olivos,Clínica aviva,,,
Recepcion y Call center,,,,
Practicante en Administración de Ventas,WEIR MINERALS PERU,,,
Asistente contable,QAPY SAC,,Presencial y remoto,
Técnico Electricista 3 Especialista en Tableros Eléctricos /  Junior /Ate,RESEMIN,,,
Urgente Técnico Mecánico de Mantenimiento,ESTANTERIAS METALICAS J.R.M. S.A.C,,,
Auxiliar de contabilidad,PLANET GAME S.A.C.,,,
Asistente de configuración de procesos automatizados,RESEMIN,,,
Técnico de laboratorio Breña/ Miraflores Ejercito/Chorrillos,MultiLab,,,
Técnico de laboratorio Proceso,MultiLab,,,
Ejecutivo de Ventas de Ruta en Huánuco/Experiencia en Ventas/Canal Mayorista,Manpower,,,
Técnico electiricista,KHALERGY,,,
Supervisor HSE,Ipesa SAC,,,
Practicante de Distribución/Egresados Ing./Puente Piedra,GRUPO VALLENORTE,,,
Supervisor Técnico de mantenimiento/Experiencia en aire acondicionado,TRUST CONSULTING,,,
Especialista de Inversión Social/Minería/Apurímac,Adecco Perú S.A.,,,
Técnico Electricista en Protección y Control/Minería,Adecco Perú S.A.,,,
Supervisor de Salón de Restaurante,,,,
Vendedor(a) / Asesor(a) de Ventas / Atención al Cliente /  Multifuncional / Tienda Surquillo,Multicosas,,,
Asesora de Ventas / Full Time,PANORAMA HOGAR & DECORACION,,,
Analista Programador / Miraflores / Inglés Intermedio,Consulting Advisers,,,
Clasificado por Reglas,INDIGITAL,,Presencial y remoto,
Personal de Alimentos y Bebidas,INTURSA,,,
"Auxiliar Contable, con Experiencia en Conciliaciones Bancarias, Lima Norte",PINTURAS DEL PERU S.A.,,,
Practicante Profesional de Ingeniería – Manejo de Argis,Manpower,,,
Analista de Procesos Comerciales,,,,
Enfermera de lactancia materna / Sanna Clinica San Borja,SANNA,,,
Docentes de Ingeniería Industrial / Sede Trujillo,Universidad Privada del Norte S.A.C.,,,
Agente Vendedor,Llamagas,,,
Generalista de Recursos Humanos,,,,
"Técnico de Calidad para Panadería, Pastelería, Comidas Preparadas Villa el Salvador",Grupo Intercorp,,,
Técnico en Electricidad / Auxiliar / Chorrillos,TRUST CONSULTING,,,
Auxiliar de Tesorería,Petramás sac,,,
Auxiliar de Almacén (Experiencia en manejo de equipo MHE),DHL SUPPLY CHAIN DE LIMA S.A.C,,,
Operador de Producción TI,KasNet,,,
Operador de Equipos de Linea Amarilla,STRACON PERÚ S.A.,,,
Cajera Part Time para restaurante,,,,
Encargado de Almacen,Llamagas,,,
Asistente Administrativo,,,,
Counter / Recepcionista,OFTALMOSALUD,,,
Operador de  Volquete u Operador de Cisterna de Agua,STRACON PERÚ S.A.,,,
Almacenista auxiliar de almacén,FIL EXPORT,,,
Operador y receptor de carga aérea y cajero Iquitos,Transber,,,
Maquinista / rubro de plásticos,SMI,,,
Jefe de Seguridad con experiencia en hoteles Ate,OPERADOR NACIONAL DE HOTELES DEL PERU S.A.C.,,,
Tecnico Especialista CNC,SOLDAMETAL SAC,,,
Caja// Atencion al Cliente // Ventas Arequipa  Sin experiencia,Apuesta Total,,,
Analista Senior de Costos Producción exp. en empresas industriales,Hilandería de Algodón Peruano S.A.,,,
Cajero y Operador de Carga Iquitos,Transber,,,
Caja // Atencion al cliente Puno Sin experiencia,Apuesta Total,,,
Atencion al Cliente // Caja// Ventas Chiclayo // La Victoria,Apuesta Total,,,
Operador de máquinas inyectoras / secundaria completa,SMI,,,
Enfermera(o) UCI Adultos (temporal 2 meses) / Sanna Clínica San Borja,SANNA,,,
Mecánico,YOBYZ CARS,,,
Cajero/a,DECO HOGAR,,,
Manager de Hotel,,,,
Ejecutivo de Admisión San Borja,Clinica Internacional SA,,,
Técnico en Lubricación Planta Concentradora Mina Cuajone,CONFIPETROL ANDINA S.A.,,,
Analista programador,VERDUM PERÚ SAC,,,
Coordinador de Tecnología de la información,CLINICA SAN JUAN DE DIOS,,,
Urgente!!! Representante de Servicios (cajero) La Merced/Curacao,Grupo EFE,,,
Inspector de Calidad  / Huachipa,RCS CAPITAL HUMANO,,,
Asistente de Despacho Junior/Tecnicos Egresados,GO TO MARKET SAC,,,
Asesor de Negocios con Experiencia Ag Iquitos / Mibanco,Manpower,,,
Admisionista,Grupo San Pablo,,,
Operador Multifuncional Cajero  Reponedor Full Time,FALABELLA CORPORATIVO PERÚ,,,
Urgente!!! Supervisor de ventas Huancayo,Grupo EFE,,,
Asesor comercial / Equipos industriales / Trujillo,Lavoro Perú,,,
técnico daci,SOINTECH S.A.C,,,
Aux Almacen Lurin (Carga pesada),Iron Mountain,,,
Escuela de Negocios Mibanco /campo/ VMT /sueldo básico + movilidad + variable,Manpower,,,
Escuela de Mibanco /campo/ Pachacamac  /sueldo básico + movilidad + comisiones,Manpower,,,
Escuela de Negocios Mibanco /campo/ Mala /sueldo básico + movilidad + variable,Manpower,,,
Escuela de Mibanco /campo/ Ag Circunvalación San Luis /sueldo básico + movilidad + comisiones,Manpower,,,
Escuela de Negocios Mibanco /campo/ Surco/sueldo básico + movilidad + variable,Manpower,,,
Escuela de Negocios Mibanco /campo/ Villa Maria del Triunfo /sueldo básico + movilidad + variable,Manpower,,,
Escuela de Negocios Mibanco /campo/ VMT Nueva Esperanza /sueldo básico + movilidad + variable,Manpower,,,
Escuela de Negocios Mibanco /campo/ VMT Jose Galvez /sueldo básico + movilidad + variable,Manpower,,,
Asistente de Negocios Mibanco /campo/ VMT /sueldo básico + movilidad + variable / c/s experiencia,Manpower,,,
Asistente de Negocios Mibanco /campo/ VMT Jose Galvez/planilla completa c/s experiencia,Manpower,,,
Asistente de Negocios Mibanco /campo/ Primavera /planilla completa c/s experiencia,Manpower,,,
Admisionista,Grupo San Pablo,,,
Agile Delivery Manager,Apuesta Total,,Presencial y remoto,
Contador/a,INGENIERÍA MANTENIMIENTO CONSTRUCCIÓN Y SERVICIOS S.A.C.,,,
Mecánico   Fabrica,,,,
Cajero para Casa de Apuesta/ Centro de Lima / Movilidad+ full time,Apuesta Total,,,
Enfermera (Triaje) / Arequipa,SANNA,,,
Docente de Mecánica Automotriz JP Tumbes,SENATI,,,
Capacitador con experiencia en Call center,Entel Connect Center,,,
Ejecutivo de Admisión Surco,Clinica Internacional SA,,,
Jefe de Unidades,Grupo AUNA,,,
electricista industrial,LMK CHIN PLAST IMPORT,,,
Practicante de Mantenimiento Electromecánico,Grupo Acerperu S.A.C,,,
Jefe de Recursos Humanos,CORHUAN S.A.,,,
¡Se Busca! Estudiantes de Derecho / FULL TIME / Cobranza  Judicial,CONTACTA Y NEGOCIA S.A.C.,,,
Falabella / Auxiliar de abastecimiento PT tienda Salaverry,FALABELLA CORPORATIVO PERÚ,,,
Asistente de Tesorería,,,,
Analista junior de servisores,Instituto de Ciencias y Humanidades,,,
¡Urgente! Técnico Electricista Recién egresados y/o Practicantes / La Victoria / Disp. Inmediata,,,,
Asistente comercial,ST SOLUCIONES,,,
Promotor de Convenios y Alianzas Comerciales / Ventas / Sueldo Fijo + Ingreso a Planilla / Arequipa,Estilos S.R.L.,,,
Auxiliar de Banca de Servicio / Mibanco / BN Acomayo,Manpower,,,
Operarios limpieza con experiencia para trabajar cerca al Jockey Plaza,EULEN del Perú,,,
Operarios limpieza con experiencia para trabajar cerca al Jockey Plaza,EULEN del Perú,,,
Analista de Servicio de Atención al Cliente,Test & Control SAC,,,
Auxiliar General Campamento Junin 14x7,Sodexo Perú S.A.C.,,,
Auxiliar de admisión y caja,Socios en Salud Sucursal Perú,,,
Cajera Part Time / Exp. Restaurantes,RETAIL SERVICES SAC,,,
Auxiliar de tesorería,Delicass,,,
Montacarguista para la zona Industrial en Lurin,Well HR,,,
Perforista DDH Zona Norte,Explomin del Peru S.A.C,,,
Coordinador Analista Soc,VMwaresis S.A.C.,,,
Especialista de calidad de alimentos,Inversiones Fisa,,,
Supervisor Junior de Inventario,ABISERVI SAC,,,
Asistente de Negocios Mibanco /campo/ Pamplona Alta /planilla completa c/s experiencia,Manpower,,,
Asistente de Negocios c/s experiencia Mibanco /campo/ VMT /sueldo básico + movilidad + variable,Manpower,,,
Jefe de Contabilidad / Contador General,Femaco SRL,,,
Programador en .NET  San Borja,Dinet S.A.,,,
Negociador,RODRIGUEZ ANGOBALDO CONSULTORIA & RECUPERACIONES SAC,,,
Operario de Producción Santa Clara,Bigmond Group,,,
asistente/a administrativo,PFH LAB MEDIC EIRL,,,
Ingeniero de Area  Mantenimiento de Pivote Hidraulica,,,,
Enfermera(o) UCI Neonatal / Sanna Clínica San Borja,SANNA,,,
Capitan de Mozos,Grupo San Pablo,,,
Almacenero de tienda Turno Completo / Lima Sur,FOOTLOOSE,,,
Urgente Técnico de Instalaciones y Mantenimiento de Alarmas,LIDERMAN,,,
Mecánico/ Campaña Todinno  Huachipa 12 horas rotativo,Molitalia,,,
Practicante Profesional de TI  Soporte Técnico en Huacho,QUIMPAC S.A.,,,
Asistente de Administración personal / RRHH,Salesland Pacífico,,Presencial y remoto,
Docente de Ingeniería Industrial / Sede Cajamarca,Universidad Privada del Norte S.A.C.,,,
Mecánico Tasador,CORASUR S.A.,,,
Encargado de Auditoría de Centro de Distribución,FALABELLA CORPORATIVO PERÚ,,,
Oportunidad Laboral en el Nuevo Aeropuerto / Despachador de Cocina – Restaurante,GRAFTON PERU S.A.C.,,,
Operarios limpieza para trabajar en Clinica de Miraflores,EULEN del Perú,,,
Supervisor de Producción,MEDIFARMA,,,
Analista Programador  Surco Semipresencial,PARQUE DEL RECUERDO,,Presencial y remoto,
Prevencionista de Riesgo con Experiencia en Hidrocarburos,ALFA CO SOCIEDAD ANONIMA CERRADA,,,
Tecnico electricista titulado,Estandar Ingenieros SAC,,,
Técnico Mecánico N1 Experiencia en camiones,ALMACENES SANTA CLARA,,,
Personal del limpieza para trabajar en Clínica cerca al Real Plaza Salaverry,EULEN del Perú,,,
administrativo/a recepcionista,PROBAL SRL,,,
Personal del limpieza para trabajar en Clínica cerca al Real Plaza Salaverry,EULEN del Perú,,,
Cajeros c/sin experiencia para Huamachuco tienda de apuestas,Apuesta Total,,,
Asesor de Negocios / Sede Huachipa,CAJA TRUJILLO,,,
Auxiliar contable,INTI CONSORCIO SAC,,,
Cajero vendedor para Laredo con o sin experiencia,Apuesta Total,,,
Ayudante de almacén,POWERTECH S.A.,,,
Asesor Inmobiliario,Grupo Aenza,,,
Gestor de Servicios  Caraz,CAJA TRUJILLO,,,
Electricista de Equipo Pesado/Equipos Gran Minería Proyecto Minero Sur,QORIKALLPA MINAS Y SERVICIOS S.A.C.,,,
UPC: Asistente de Registros Académicos Intermitente / Surco,Laureate,,,
Cajero Nike La Molina,Grupo Marathon,,,
Técnico de aire acondicionado,Grupo Fencri,,,
asesor de ventas,METALURGIA SERVICIOS Y REFRACTARIOS E.I.R.L.,,,
Técnico Electrónico Junior / Sede Ate,Corporación de Industrias Plásticas S. A.,,,
Gerente comercial,SOLUCIONES RAMIREZ EIRL,,Presencial y remoto,
Asesor de ventas educativo,Grupo Educa_d,,,
Almacenero de tienda Turno Completo / Lurin KM40,FOOTLOOSE,,,
Asistente de Tesorería,,,,
"Técnico de Instalacion, Mantenimiento y Programación en Seguridad Electrónica",LIDERMAN,,,
Practicante Profesional TI  Soporte Técnico,QUIMPAC S.A.,,,
Docente JP Administración  de empresas Tumbes,SENATI,,,
Supervisor de Ventas,Entel Connect Center,,,
Técnico Mecánico / Mantenimiento de carritos mineros / Mina Subterránea,CONFIPETROL ANDINA S.A.,,,
Analista de Monitoreo de Ciberseguridad TI // Cybersecurity Monitoring Analyst IT,Bitel,,,
Clasificado por Reglas,GRIFO AEROPUERTO 610 SRL,,,
auxiliar contable,AGROINDUSTRIA GANADERA DON ROMULO EIRL,,,
Ejecutivo de Service Desk con experiencia en software Aranda,Centro Nacional de Servicios - CNS,,Presencial y remoto,
Ejecutivo de Service Desk Mesa de Ayuda,Centro Nacional de Servicios - CNS,,,
Urgente se busca Ayudante de Jardinería / Turno mañana / bono de pasaje / Miraflores,SSAYS SAC,,,
Enfermera  Hospitalización / Arequipa,SANNA,,,
Enfermero Ocupacional Mineria  Pasco,Salus Laboris SAC,,,
Técnico de infraestructura,Bitel,,,
Practicante electricista de ensamble,POWERTECH S.A.,,,
Técnico de mantenimiento y emergencia,Bitel,,,
Enfermero ocupacional Chincha,Salus Laboris SAC,,,
técnico,METALURGIA MANUFACTURADA PACIFICO S.A.C.,,,
"Operario de Recuento Arequipa/ Sueldo S/ 1,309 + S/300 de movilidad / Horarios rotativos",Prosegur,,,
técnico puerto Maldonado,METALURGIA MANUFACTURADA PACIFICO S.A.C.,,,
Enfermera Centro Quirúrgico (Arequipa),SANNA,,,
Ejecutivo Comercial,,,,
"Asistente Sig para Ate, Santa Anita, La Molina",,,,
Gestor de Cobranzas,Cooperativa de Ahorro y Crédito Quillabamba,,,
Prevencionista de SST,Hidrostal S.A.,,,
UPN: Auxiliar de Servicios de Información / Comas,Laureate,,,
Coordinador de Producto,QUE TAL COMPRA DEL PERU S.A.C.,,,
Auxiliar de calidad,,,,
"Auxiliar de producción, Lurin",,,,
Gestor de retención,Agrovision Peru Sac,,,
Practicante Profesional de Operaciones (Pacasmayo),Grupo Pacasmayo,,,
Instructor JP de Mecatrónica Automotriz Piura,SENATI,,,
Analista de Soporte de Laboratorio Junior (Callao),QUIMPAC S.A.,,,
Operador de Paneles de Alarmas / 12 hrs rotativas,LIDERMAN,,,
Asistente de Estadística de Operaciones / Lurín,Overall Strategy,,,
Asesor de Ventas Campo + comisiones /  Sede Plaza Norte/ Estilos,Estilos S.R.L.,,,
Representante de Atención de Consultas  Cercado de Lima / Temporal,Consorcio LP,,,
Almacenero/a,,,,
Almacenero para mina,SOLTRAK,,,
Asistente de Importaciones / Planilla Completa / Breña / Descansa Sábado y Domingo,Epli S.A.C.,,,
Panadero Pastelero  Puno / Régimen 14X7,Sodexo Perú S.A.C.,,,
"Supervisor de HSE (Seguridad, Salud Ocupacional y Medio Ambiente)  Proyecto en Cajamarca",,,,
Técnico Matricero,Polinplast SAC,,,
Supervisor de Operaciones  Proyecto Yanacocha/  régimen 10 x 5/,,,,
Digitador Logístico / 1200 / Ate,ALFA CO SOCIEDAD ANONIMA CERRADA,,,
